date,ingredient_name,ingredient_unit,opening_stock,used_today,closing_stock,reorder_point,lead_time_days,reorder_flag
2023-01-01,coffee,g,50000.0,3024.0,46976.0,15000,7,False
2023-01-01,milk,ml,200000.0,19360.0,180640.0,60000,3,False
2023-01-01,chocolate,g,30000.0,575.0,29425.0,8000,5,False
2023-01-01,sugar,g,40000.0,1872.5,38127.5,10000,4,False
2023-01-02,coffee,g,46976.0,2160.0,44816.0,15000,7,False
2023-01-02,milk,ml,180640.0,15020.0,165620.0,60000,3,False
2023-01-02,chocolate,g,29425.0,550.0,28875.0,8000,5,False
2023-01-02,sugar,g,38127.5,1400.0,36727.5,10000,4,False
2023-01-03,coffee,g,44816.0,2214.0,42602.0,15000,7,False
2023-01-03,milk,ml,165620.0,15720.0,149900.0,60000,3,False
2023-01-03,chocolate,g,28875.0,600.0,28275.0,8000,5,False
2023-01-03,sugar,g,36727.5,1449.5,35278.0,10000,4,False
2023-01-04,coffee,g,42602.0,2232.0,40370.0,15000,7,False
2023-01-04,milk,ml,149900.0,14440.0,135460.0,60000,3,False
2023-01-04,chocolate,g,28275.0,500.0,27775.0,8000,5,False
2023-01-04,sugar,g,35278.0,1438.5,33839.5,10000,4,False
2023-01-05,coffee,g,40370.0,2250.0,38120.0,15000,7,False
2023-01-05,milk,ml,135460.0,13900.0,121560.0,60000,3,False
2023-01-05,chocolate,g,27775.0,425.0,27350.0,8000,5,False
2023-01-05,sugar,g,33839.5,1388.0,32451.5,10000,4,False
2023-01-06,coffee,g,38120.0,2826.0,35294.0,15000,7,False
2023-01-06,milk,ml,121560.0,19720.0,101840.0,60000,3,False
2023-01-06,chocolate,g,27350.0,725.0,26625.0,8000,5,False
2023-01-06,sugar,g,32451.5,1857.0,30594.5,10000,4,False
2023-01-07,coffee,g,35294.0,3078.0,32216.0,15000,7,False
2023-01-07,milk,ml,101840.0,21360.0,80480.0,60000,3,False
2023-01-07,chocolate,g,26625.0,825.0,25800.0,8000,5,False
2023-01-07,sugar,g,30594.5,2033.0,28561.5,10000,4,False
2023-01-08,coffee,g,32216.0,2862.0,29354.0,15000,7,False
2023-01-08,milk,ml,80480.0,20320.0,60160.0,60000,3,False
2023-01-08,chocolate,g,25800.0,650.0,25150.0,8000,5,False
2023-01-08,sugar,g,28561.5,1869.0,26692.5,10000,4,False
2023-01-09,coffee,g,29354.0,2286.0,27068.0,15000,7,False
2023-01-09,milk,ml,60160.0,15660.0,44500.0,60000,3,True
2023-01-09,chocolate,g,25150.0,675.0,24475.0,8000,5,False
2023-01-09,sugar,g,26692.5,1498.5,25194.0,10000,4,False
2023-01-10,coffee,g,27068.0,2340.0,24728.0,15000,7,False
2023-01-10,milk,ml,44500.0,16040.0,28460.0,60000,3,True
2023-01-10,chocolate,g,24475.0,625.0,23850.0,8000,5,False
2023-01-10,sugar,g,25194.0,1555.5,23638.5,10000,4,False
2023-01-11,coffee,g,24728.0,2196.0,22532.0,15000,7,False
2023-01-11,milk,ml,28460.0,14520.0,13940.0,60000,3,True
2023-01-11,chocolate,g,23850.0,600.0,23250.0,8000,5,False
2023-01-11,sugar,g,23638.5,1455.0,22183.5,10000,4,False
2023-01-12,coffee,g,22532.0,2268.0,20264.0,15000,7,False
2023-01-12,milk,ml,13940.0,15520.0,-1580.0,60000,3,True
2023-01-12,chocolate,g,23250.0,500.0,22750.0,8000,5,False
2023-01-12,sugar,g,22183.5,1433.0,20750.5,10000,4,False
2023-01-13,coffee,g,20264.0,2952.0,17312.0,15000,7,False
2023-01-13,milk,ml,-1580.0,19920.0,-21500.0,60000,3,True
2023-01-13,chocolate,g,22750.0,600.0,22150.0,8000,5,False
2023-01-13,sugar,g,20750.5,1826.0,18924.5,10000,4,False
2023-01-14,coffee,g,17312.0,2520.0,14792.0,15000,7,True
2023-01-14,milk,ml,-21500.0,18380.0,-39880.0,60000,3,True
2023-01-14,chocolate,g,22150.0,700.0,21450.0,8000,5,False
2023-01-14,sugar,g,18924.5,1651.5,17273.0,10000,4,False
2023-01-15,coffee,g,14792.0,2556.0,12236.0,15000,7,True
2023-01-15,milk,ml,-39880.0,17480.0,-57360.0,60000,3,True
2023-01-15,chocolate,g,21450.0,625.0,20825.0,8000,5,False
2023-01-15,sugar,g,17273.0,1650.0,15623.0,10000,4,False
2023-01-16,coffee,g,12236.0,2268.0,9968.0,15000,7,True
2023-01-16,milk,ml,-57360.0,16580.0,-73940.0,60000,3,True
2023-01-16,chocolate,g,20825.0,625.0,20200.0,8000,5,False
2023-01-16,sugar,g,15623.0,1523.5,14099.5,10000,4,False
2023-01-17,coffee,g,9968.0,2304.0,7664.0,15000,7,True
2023-01-17,milk,ml,-73940.0,14520.0,-88460.0,60000,3,True
2023-01-17,chocolate,g,20200.0,600.0,19600.0,8000,5,False
2023-01-17,sugar,g,14099.5,1506.0,12593.5,10000,4,False
2023-01-18,coffee,g,7664.0,2340.0,5324.0,15000,7,True
2023-01-18,milk,ml,-88460.0,15160.0,-103620.0,60000,3,True
2023-01-18,chocolate,g,19600.0,500.0,19100.0,8000,5,False
2023-01-18,sugar,g,12593.5,1451.5,11142.0,10000,4,False
2023-01-19,coffee,g,5324.0,2304.0,3020.0,15000,7,True
2023-01-19,milk,ml,-103620.0,15140.0,-118760.0,60000,3,True
2023-01-19,chocolate,g,19100.0,550.0,18550.0,8000,5,False
2023-01-19,sugar,g,11142.0,1465.0,9677.0,10000,4,True
2023-01-20,coffee,g,3020.0,2646.0,374.0,15000,7,True
2023-01-20,milk,ml,-118760.0,16900.0,-135660.0,60000,3,True
2023-01-20,chocolate,g,18550.0,575.0,17975.0,8000,5,False
2023-01-20,sugar,g,9677.0,1662.5,8014.5,10000,4,True
2023-01-21,coffee,g,374.0,2844.0,-2470.0,15000,7,True
