date,ingredient_name,ingredient_unit,opening_stock,used_today,closing_stock,reorder_point,lead_time_days,reorder_flag
2023-01-01,coffee,g,50000.0,5004.0,44996.0,15000,7,False
2023-01-01,milk,ml,200000.0,29420.0,170580.0,60000,3,False
2023-01-01,chocolate,g,30000.0,850.0,29150.0,8000,5,False
2023-01-01,sugar,g,40000.0,3094.5,36905.5,10000,4,False
2023-01-02,coffee,g,44996.0,2610.0,42386.0,15000,7,False
2023-01-02,milk,ml,170580.0,15060.0,155520.0,60000,3,False
2023-01-02,chocolate,g,29150.0,375.0,28775.0,8000,5,False
2023-01-02,sugar,g,36905.5,1562.0,35343.5,10000,4,False
2023-01-03,coffee,g,42386.0,2340.0,40046.0,15000,7,False
2023-01-03,milk,ml,155520.0,15440.0,140080.0,60000,3,False
2023-01-03,chocolate,g,28775.0,475.0,28300.0,8000,5,False
2023-01-03,sugar,g,35343.5,1486.0,33857.5,10000,4,False
2023-01-04,coffee,g,40046.0,2826.0,37220.0,15000,7,False
2023-01-04,milk,ml,140080.0,18620.0,121460.0,60000,3,False
2023-01-04,chocolate,g,28300.0,550.0,27750.0,8000,5,False
2023-01-04,sugar,g,33857.5,1749.5,32108.0,10000,4,False
2023-01-05,coffee,g,37220.0,2574.0,34646.0,15000,7,False
2023-01-05,milk,ml,121460.0,16800.0,104660.0,60000,3,False
2023-01-05,chocolate,g,27750.0,525.0,27225.0,8000,5,False
2023-01-05,sugar,g,32108.0,1617.0,30491.0,10000,4,False
2023-01-06,coffee,g,34646.0,3582.0,31064.0,15000,7,False
2023-01-06,milk,ml,104660.0,20440.0,84220.0,60000,3,False
2023-01-06,chocolate,g,27225.0,425.0,26800.0,8000,5,False
2023-01-06,sugar,g,30491.0,2134.5,28356.5,10000,4,False
2023-01-07,coffee,g,31064.0,3240.0,27824.0,15000,7,False
2023-01-07,milk,ml,84220.0,19520.0,64700.0,60000,3,False
2023-01-07,chocolate,g,26800.0,625.0,26175.0,8000,5,False
2023-01-07,sugar,g,28356.5,2082.5,26274.0,10000,4,False
2023-01-08,coffee,g,27824.0,3132.0,24692.0,15000,7,False
2023-01-08,milk,ml,64700.0,18960.0,45740.0,60000,3,True
2023-01-08,chocolate,g,26175.0,675.0,25500.0,8000,5,False
2023-01-08,sugar,g,26274.0,2029.0,24245.0,10000,4,False
2023-01-09,coffee,g,24692.0,2934.0,21758.0,15000,7,False
2023-01-09,milk,ml,45740.0,18120.0,27620.0,60000,3,True
2023-01-09,chocolate,g,25500.0,525.0,24975.0,8000,5,False
2023-01-09,sugar,g,24245.0,1809.0,22436.0,10000,4,False
